gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges
Female,0,Yes,No,Yes,No,0,Yes,Yes,Yes,Yes,Yes,Yes,0,No,Mailed check,85.1
Female,1,No,No,No,No phone service,0,No,No,No,No,Yes,Yes,1,Yes,Electronic check,46.35
Female,0,Yes,Yes,Yes,Yes,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Bank transfer (automatic),24.7
Male,0,Yes,Yes,Yes,No,0,No,No,Yes,Yes,Yes,Yes,2,Yes,Mailed check,73.9
Female,0,Yes,No,Yes,Yes,2,Yes,Yes,Yes,No,Yes,No,1,Yes,Electronic check,98.75
Female,0,No,No,Yes,Yes,2,No,No,No,No,Yes,No,1,Yes,Bank transfer (automatic),84.15
Female,1,Yes,No,Yes,Yes,2,No,Yes,No,No,Yes,Yes,1,Yes,Electronic check,100.2
Female,0,Yes,Yes,Yes,Yes,2,Yes,Yes,Yes,No,No,Yes,1,No,Bank transfer (automatic),98.15
Female,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,Mailed check,19.9
Female,1,Yes,No,Yes,No,0,Yes,No,No,No,No,No,1,Yes,Electronic check,49.55
Male,0,Yes,No,Yes,No,0,No,No,No,No,No,No,1,Yes,Bank transfer (automatic),45.9
Male,0,Yes,Yes,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Electronic check,113.15
Male,0,Yes,No,Yes,No,2,Yes,Yes,Yes,No,No,No,1,Yes,Electronic check,84.6
Female,0,No,Yes,Yes,No,0,No,No,Yes,No,No,Yes,1,No,Electronic check,59.2
Male,1,Yes,No,Yes,Yes,2,No,Yes,Yes,No,Yes,Yes,2,Yes,Bank transfer (automatic),103.15
Female,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,Electronic check,19.55
Female,1,Yes,No,Yes,Yes,2,No,Yes,Yes,No,Yes,No,1,Yes,Electronic check,95.55
Male,0,No,No,Yes,No,0,No,No,No,No,No,No,1,No,Mailed check,43.55
Female,0,Yes,Yes,Yes,Yes,2,Yes,Yes,No,No,Yes,Yes,1,Yes,Electronic check,105.15
Male,1,No,No,Yes,Yes,2,Yes,No,Yes,Yes,Yes,Yes,0,Yes,Electronic check,110.35
Male,0,No,No,Yes,No,0,No,Yes,No,No,No,No,1,No,Mailed check,50.65
Male,0,Yes,No,Yes,Yes,0,Yes,No,No,Yes,Yes,Yes,0,Yes,Credit card (automatic),76.95
Male,0,Yes,No,Yes,Yes,0,Yes,Yes,Yes,No,Yes,No,1,Yes,Bank transfer (automatic),72.75
Female,0,Yes,No,Yes,No,2,No,No,No,Yes,Yes,Yes,0,Yes,Credit card (automatic),95.2
Male,0,No,No,Yes,Yes,2,No,Yes,No,No,Yes,Yes,1,Yes,Electronic check,101.75
Male,0,No,No,Yes,Yes,2,No,Yes,No,No,Yes,Yes,1,No,Electronic check,98.6
Female,1,Yes,No,Yes,No,2,No,No,Yes,Yes,Yes,Yes,2,Yes,Electronic check,99.1
Male,0,Yes,No,Yes,No,0,No,No,No,Yes,No,No,1,No,Mailed check,50.05
Male,0,No,No,No,No phone service,0,No,No,No,No,No,Yes,1,Yes,Mailed check,33.9
Female,0,No,Yes,No,No phone service,0,Yes,Yes,Yes,Yes,Yes,No,0,No,Mailed check,53.15
Male,0,Yes,Yes,Yes,Yes,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Mailed check,25.75
Female,0,No,No,No,No phone service,0,No,No,No,No,No,No,1,No,Electronic check,24.6
Female,1,Yes,Yes,Yes,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,0,No,Credit card (automatic),92.45
Male,0,Yes,Yes,Yes,No,2,No,Yes,Yes,No,Yes,Yes,2,Yes,Mailed check,100.05
Male,0,No,No,No,No phone service,0,No,No,No,No,No,No,1,Yes,Credit card (automatic),24.9
Female,1,Yes,No,Yes,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,0,No,Credit card (automatic),89.1
Male,0,Yes,No,Yes,Yes,2,No,No,Yes,Yes,Yes,Yes,2,Yes,Electronic check,108.3
Male,0,Yes,No,Yes,Yes,2,Yes,No,Yes,Yes,Yes,No,1,No,Bank transfer (automatic),99.4
Male,0,Yes,No,Yes,Yes,0,No,No,Yes,No,Yes,Yes,2,Yes,Mailed check,75.3
Male,0,Yes,Yes,Yes,Yes,0,No,No,No,Yes,No,No,2,Yes,Mailed check,55.1
Male,0,Yes,Yes,Yes,Yes,2,No,No,No,No,No,No,1,Yes,Bank transfer (automatic),74.9
Male,0,No,No,Yes,Yes,2,Yes,Yes,No,No,No,Yes,1,Yes,Credit card (automatic),94.3
Male,0,No,No,Yes,No,0,No,No,Yes,Yes,No,No,1,No,Credit card (automatic),55.2
Male,0,No,No,Yes,Yes,0,Yes,Yes,Yes,Yes,Yes,No,2,No,Electronic check,81.25
Male,0,Yes,No,Yes,No,2,Yes,Yes,No,Yes,Yes,Yes,0,Yes,Credit card (automatic),104.05
Female,0,Yes,Yes,Yes,No,0,Yes,Yes,Yes,Yes,No,Yes,0,Yes,Electronic check,74.35
Male,0,No,No,Yes,No,2,No,No,No,No,No,No,1,Yes,Electronic check,69.75
Male,0,No,No,Yes,No,2,Yes,No,No,Yes,Yes,No,0,Yes,Electronic check,88.95
Male,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,Mailed check,20.05
Female,0,No,No,Yes,Yes,2,No,No,No,No,No,No,1,No,Electronic check,75.25
Female,1,Yes,Yes,Yes,Yes,2,No,Yes,Yes,Yes,Yes,Yes,2,Yes,Electronic check,107.9
Male,0,Yes,Yes,No,No phone service,0,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Bank transfer (automatic),65.65
Female,0,No,No,No,No phone service,0,No,No,Yes,No,Yes,Yes,1,Yes,Electronic check,47.95
Female,0,Yes,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,Bank transfer (automatic),19.05
Male,0,No,No,Yes,No,2,No,Yes,No,No,Yes,Yes,2,Yes,Bank transfer (automatic),97.0
Female,1,Yes,No,Yes,No,2,Yes,Yes,Yes,No,No,Yes,2,No,Bank transfer (automatic),97.0
Female,0,No,No,Yes,No,2,No,No,No,No,No,No,1,No,Bank transfer (automatic),70.0
Male,0,Yes,Yes,Yes,No,2,Yes,No,No,No,No,No,1,No,Mailed check,75.1
Female,0,Yes,No,No,No phone service,0,Yes,No,No,Yes,Yes,No,0,No,Electronic check,45.4
Male,0,Yes,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,Mailed check,20.5
Female,0,No,No,Yes,No,0,No,No,No,Yes,No,No,2,No,Bank transfer (automatic),50.05
Female,0,No,No,Yes,Yes,2,Yes,Yes,Yes,No,No,No,2,Yes,Electronic check,92.05
Male,0,No,Yes,No,No phone service,0,No,No,No,No,No,No,1,No,Credit card (automatic),25.0
Female,0,No,No,Yes,Yes,2,No,Yes,No,No,No,No,1,Yes,Electronic check,79.75
Female,0,No,No,Yes,Yes,2,No,Yes,No,No,Yes,Yes,0,No,Bank transfer (automatic),97.45
Male,0,Yes,No,Yes,No,2,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Electronic check,106.3
Female,0,Yes,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,Mailed check,20.15
Female,1,No,No,Yes,Yes,2,No,No,Yes,No,No,No,1,Yes,Mailed check,79.35
Female,1,Yes,No,Yes,No,0,Yes,No,Yes,Yes,Yes,Yes,2,Yes,Electronic check,79.2
Male,0,Yes,Yes,Yes,Yes,2,Yes,No,Yes,Yes,No,No,2,Yes,Credit card (automatic),91.25
Female,0,Yes,No,Yes,Yes,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Credit card (automatic),25.6
Female,0,No,No,Yes,No,0,Yes,Yes,Yes,Yes,No,No,0,Yes,Credit card (automatic),64.9
Male,0,Yes,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Credit card (automatic),20.35
Male,0,No,No,Yes,No,0,Yes,Yes,Yes,Yes,Yes,No,0,Yes,Bank transfer (automatic),75.1
Female,0,Yes,Yes,Yes,Yes,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Yes,Electronic check,25.75
Female,0,Yes,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,Mailed check,20.05
Female,0,Yes,No,Yes,Yes,2,No,No,No,No,Yes,Yes,0,Yes,Bank transfer (automatic),93.7
Female,0,No,No,Yes,Yes,2,Yes,Yes,No,Yes,Yes,Yes,0,Yes,Electronic check,109.65
Male,1,Yes,No,Yes,No,2,No,No,No,No,Yes,Yes,1,Yes,Electronic check,90.45
Male,0,Yes,No,Yes,Yes,0,Yes,No,Yes,Yes,No,Yes,0,No,Bank transfer (automatic),76.15
Male,0,No,No,No,No phone service,0,No,No,No,Yes,No,Yes,0,Yes,Mailed check,40.05
Female,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Yes,Mailed check,20.3
Male,0,Yes,No,No,No phone service,0,Yes,No,Yes,Yes,Yes,Yes,0,Yes,Mailed check,62.15
Female,0,No,No,Yes,Yes,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Credit card (automatic),24.6
Female,1,Yes,No,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Bank transfer (automatic),116.05
Female,0,Yes,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,Mailed check,19.6
Female,0,No,No,Yes,No,2,No,No,No,No,Yes,Yes,1,Yes,Electronic check,89.45
Female,0,Yes,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Mailed check,19.75
Male,0,No,No,No,No phone service,0,Yes,No,Yes,No,No,No,2,Yes,Credit card (automatic),35.2
Male,0,Yes,No,Yes,No,2,No,Yes,No,No,Yes,Yes,2,Yes,Electronic check,94.4
Male,0,Yes,Yes,Yes,Yes,0,Yes,No,Yes,Yes,Yes,Yes,0,Yes,Credit card (automatic),83.55
Female,0,No,No,Yes,Yes,2,Yes,Yes,No,No,Yes,No,1,Yes,Electronic check,96.65
Female,0,Yes,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Bank transfer (automatic),19.5
Male,0,Yes,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,Yes,Mailed check,19.5
Male,0,No,No,Yes,No,0,No,No,No,No,No,No,1,Yes,Credit card (automatic),46.0
Female,0,No,No,Yes,Yes,0,No,Yes,Yes,Yes,Yes,Yes,0,No,Credit card (automatic),88.65
Male,0,No,No,No,No phone service,0,No,Yes,Yes,No,No,No,2,Yes,Bank transfer (automatic),35.75
Female,0,No,No,Yes,Yes,2,Yes,Yes,Yes,No,Yes,Yes,1,Yes,Mailed check,109.8
Female,0,No,No,Yes,No,0,No,Yes,No,No,Yes,Yes,1,Yes,Bank transfer (automatic),68.65
Female,0,Yes,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,Yes,Bank transfer (automatic),19.85
Female,0,Yes,Yes,Yes,Yes,0,Yes,Yes,Yes,Yes,Yes,No,0,No,Bank transfer (automatic),79.7
Female,1,No,No,Yes,Yes,2,No,No,No,No,No,No,1,Yes,Mailed check,75.45
Female,0,No,No,Yes,No,0,Yes,No,No,No,No,No,1,Yes,Mailed check,48.8
Female,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,Bank transfer (automatic),19.9
Female,0,Yes,Yes,Yes,No,2,No,Yes,No,No,No,No,1,No,Bank transfer (automatic),73.25
Female,0,No,No,Yes,No,0,Yes,No,Yes,Yes,Yes,Yes,2,Yes,Bank transfer (automatic),79.85
Male,1,No,No,Yes,Yes,2,Yes,No,No,No,Yes,No,1,Yes,Electronic check,90.85
Male,0,Yes,No,Yes,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Bank transfer (automatic),89.05
Female,1,Yes,No,Yes,Yes,2,No,Yes,No,Yes,Yes,Yes,0,Yes,Bank transfer (automatic),104.45
Male,0,Yes,No,Yes,Yes,2,No,Yes,Yes,No,No,Yes,0,Yes,Electronic check,93.15
Female,0,No,No,No,No phone service,0,No,No,No,No,Yes,Yes,1,Yes,Electronic check,44.95
Male,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,Yes,Mailed check,20.2
Male,1,Yes,No,Yes,Yes,2,Yes,No,No,No,Yes,Yes,2,Yes,Electronic check,100.75
Male,0,Yes,Yes,Yes,No,2,Yes,No,Yes,No,Yes,No,1,Yes,Electronic check,89.4
Female,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,Credit card (automatic),20.1
Male,0,Yes,No,Yes,Yes,2,No,Yes,No,Yes,Yes,Yes,2,Yes,Electronic check,104.05
Female,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,Mailed check,19.4
Male,1,Yes,No,Yes,Yes,2,No,Yes,Yes,Yes,Yes,Yes,0,Yes,Electronic check,113.6
Male,0,No,No,Yes,Yes,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,Credit card (automatic),24.95
Female,0,No,No,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Bank transfer (automatic),116.45
Female,0,Yes,No,Yes,Yes,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Bank transfer (automatic),25.3
Male,0,No,No,No,No phone service,0,No,No,No,Yes,No,No,1,No,Electronic check,30.5
Male,1,No,No,Yes,Yes,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,Yes,Bank transfer (automatic),24.9
Male,0,Yes,No,Yes,Yes,0,No,Yes,Yes,Yes,Yes,Yes,0,No,Bank transfer (automatic),85.95
Male,1,No,No,Yes,Yes,2,No,No,Yes,No,Yes,Yes,1,Yes,Electronic check,98.4
Male,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Yes,Mailed check,20.2
Male,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Mailed check,20.35
Male,0,Yes,Yes,Yes,No,2,No,No,No,No,No,No,1,No,Mailed check,69.95
Female,0,Yes,No,Yes,Yes,2,Yes,Yes,Yes,No,Yes,Yes,2,Yes,Credit card (automatic),109.15
Female,0,Yes,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Credit card (automatic),19.7
Male,1,No,No,Yes,No,2,No,No,Yes,No,Yes,Yes,1,Yes,Bank transfer (automatic),96.8
Female,0,Yes,Yes,Yes,Yes,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,Yes,Mailed check,24.05
Female,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,Mailed check,19.5
Male,0,Yes,No,No,No phone service,0,Yes,Yes,No,Yes,Yes,Yes,0,Yes,Bank transfer (automatic),60.0
Male,0,Yes,Yes,Yes,No,2,No,Yes,Yes,Yes,Yes,Yes,2,Yes,Electronic check,106.15
Female,0,No,No,Yes,Yes,2,Yes,No,Yes,No,Yes,Yes,2,Yes,Bank transfer (automatic),103.95
Female,0,No,No,Yes,No,0,Yes,No,No,No,No,No,1,Yes,Bank transfer (automatic),48.45
Male,1,No,No,Yes,Yes,2,No,Yes,No,No,No,Yes,1,Yes,Electronic check,89.8
Male,0,Yes,Yes,Yes,No,2,No,Yes,No,No,No,No,1,No,Credit card (automatic),74.6
